SeqNo,Sent(usec),Received(usec),Latency(ms),Result,TargetNode,LeaderHint,Term
1773597877,9236952714,9237418433,465.7,OK,0,0,3
1773597878,9237418540,9237716108,297.6,OK,0,0,3
1773597879,9237716187,9238013577,297.4,OK,0,0,3
1773597880,9238013650,9238311109,297.5,OK,0,0,3
1773597881,9238311186,9238661692,350.5,OK,0,0,3
1773597882,9238661769,9238958693,296.9,OK,0,0,3
1773597883,9238958769,9239271959,313.2,OK,0,0,3
1773597884,9239272062,9239663139,391.1,OK,0,0,3
1773597885,9239663217,9239966609,303.4,OK,0,0,3
1773597886,9239966681,9240264610,297.9,OK,0,0,3
1773597887,9240264688,9240717134,452.4,OK,0,0,3
1773597888,9240717209,9241329476,612.3,OK,0,0,3
1773597889,9241329598,9241627823,298.2,OK,0,0,3
1773597890,9241627900,9241973597,345.7,OK,0,0,3
1773597891,9241973683,9242269913,296.2,OK,0,0,3
1773597892,9242269992,9242567687,297.7,OK,0,0,3
1773597893,9242567763,9243042364,474.6,OK,0,0,3
1773597894,9243042442,9243339856,297.4,OK,0,0,3
1773597895,9243339929,9243637606,297.7,OK,0,0,3
1773597896,9243637685,9243998818,361.1,OK,0,0,3
1773597897,9243998880,9244639372,640.5,OK,0,0,3
1773597898,9244639496,9244936346,296.9,OK,0,0,3
1773597899,9244936428,9245283389,347.0,OK,0,0,3
1773597900,9245283463,9245578986,295.5,OK,0,0,3
1773597901,9245579060,9245859856,280.8,OK,0,0,3
1773597902,9245859933,9246615633,755.7,OK,0,0,3
1773597903,9246615714,9246896995,281.3,OK,0,0,3
1773597904,9246897076,9247268048,371.0,OK,0,0,3
1773597905,9247268133,9247806434,538.3,OK,0,0,3
1773597906,9247806525,9248087675,281.1,OK,0,0,3
1773597907,9248087750,9248367344,279.6,OK,0,0,3
1773597908,9248367423,9248647163,279.7,OK,0,0,3
1773597909,9248647237,9248942003,294.8,OK,0,0,3
1773597910,9248942098,9249270062,328.0,OK,0,0,3
1773597911,9249270147,9249639670,369.5,OK,0,0,3
1773597912,9249639745,9249919701,280.0,OK,0,0,3
1773597913,9249919779,9250361789,442.0,OK,0,0,3
1773597914,9250361850,9250641415,279.6,OK,0,0,3
1773597915,9250641510,9250921961,280.5,OK,0,0,3
1773597916,9250922018,9251297257,375.2,OK,0,0,3
1773597917,9251297318,9251911098,613.8,OK,0,0,3
1773597918,9251911153,9252190674,279.5,OK,0,0,3
1773597919,9252190732,9252558430,367.7,OK,0,0,3
1773597920,9252558492,9252838790,280.3,OK,0,0,3
1773597921,9252838855,9253118723,279.9,OK,0,0,3
1773597922,9253118808,9253398633,279.8,OK,0,0,3
1773597923,9253398762,9253679634,280.9,OK,0,0,3
1773597924,9253679709,9254053956,374.2,OK,0,0,3
1773597925,9254054047,9254699577,645.5,OK,0,0,3
1773597926,9254699639,9254991559,291.9,OK,0,0,3
1773597927,9254991613,9255353404,361.8,OK,0,0,3
1773597928,9255353481,9255645455,292.0,OK,0,0,3
1773597929,9255645530,9255936963,291.4,OK,0,0,3
1773597930,9255937041,9256294477,357.4,OK,0,0,3
1773597931,9256294562,9256699639,405.1,OK,0,0,3
1773597932,9256699717,9256990543,290.8,OK,0,0,3
1773597933,9256990619,9257357537,366.9,OK,0,0,3
1773597934,9257357619,9257649761,292.1,OK,0,0,3
1773597935,9257649842,9257979092,329.2,OK,0,0,3
1773597936,9257979173,9258359697,380.5,OK,0,0,3
1773597937,9258359804,9258663066,303.3,OK,0,0,3
1773597938,9258663143,9258954267,291.1,OK,0,0,3
1773597939,9258954341,9259915739,961.4,OK,0,0,3
1773597940,9259915798,9260207416,291.6,OK,0,0,3
1773597941,9260207522,9260498929,291.4,OK,0,0,3
1773597942,9260498988,9260865869,366.9,OK,0,0,3
1773597943,9260865928,9261203403,337.5,OK,0,0,3
1773597944,9261203472,9261495596,292.1,OK,0,0,3
1773597945,9261495759,9261958977,463.2,OK,0,0,3
1773597946,9261959055,0,0.0,TIMEOUT,0,-1,-1
1773597947,9262970059,0,0.0,NOT_LEADER,4,0,3
1773597949,9263733360,0,0.0,NOT_LEADER,3,0,3
1773597951,9264503366,0,0.0,NOT_LEADER,3,0,3
1773597953,9265036668,0,0.0,NOT_LEADER,4,-1,4
1773597954,9265290285,0,0.0,NOT_LEADER,2,4,4
1773597955,9265572577,9266149278,576.7,OK,4,4,4
1773597956,9266149351,9266733901,584.5,OK,4,4,4
1773597957,9266733976,9267316939,583.0,OK,4,4,4
1773597958,9267317017,9268075263,758.2,OK,4,4,4
1773597959,9268075326,9268568182,492.9,OK,4,4,4
1773597960,9268568261,9268973825,405.6,OK,4,4,4
1773597961,9268973885,9269474067,500.2,OK,4,4,4
1773597962,9269474167,9270302920,828.8,OK,4,4,4
1773597963,9270302995,9270708041,405.0,OK,4,4,4
1773597964,9270708122,9271110825,402.7,OK,4,4,4
1773597965,9271110941,9271513470,402.5,OK,4,4,4
1773597966,9271513546,9271979218,465.7,OK,4,4,4
1773597967,9271979294,9272882826,903.5,OK,4,4,4
1773597968,9272882905,9273285390,402.5,OK,4,4,4
1773597969,9273285464,9274058368,772.9,OK,4,4,4
1773597970,9274058511,9274511683,453.2,OK,4,4,4
1773597971,9274511739,9274983841,472.1,OK,4,4,4
1773597972,9274983925,9275814548,830.6,OK,4,4,4
1773597973,9275814632,9276217421,402.8,OK,4,4,4
1773597974,9276217505,9276682500,465.0,OK,4,4,4
1773597975,9276682566,9277314508,631.9,OK,4,4,4
1773597976,9277314565,9277717714,403.1,OK,4,4,4
1773597977,9277717788,9278184699,466.9,OK,4,4,4
1773597978,9278184778,9278817336,632.6,OK,4,4,4
1773597979,9278817404,9279220030,402.6,OK,4,4,4
1773597980,9279220123,9279688876,468.8,OK,4,4,4
1773597981,9279688938,9280395054,706.1,OK,4,4,4
1773597982,9280395113,9280797847,402.7,OK,4,4,4
1773597983,9280797905,9281584820,786.9,OK,4,4,4
1773597984,9281584876,9282037422,452.5,OK,4,4,4
1773597985,9282037478,9282499075,461.6,OK,4,4,4
1773597986,9282499133,9283326788,827.7,OK,4,4,4
1773597987,9283326899,9283730360,403.5,OK,4,4,4
1773597988,9283730464,9284196674,466.2,OK,4,4,4
1773597989,9284196749,9284826373,629.6,OK,4,4,4
1773597990,9284826539,9285229663,403.1,OK,4,4,4
1773597991,9285229730,9285698935,469.2,OK,4,4,4
1773597992,9285698994,9286331259,632.3,OK,4,4,4
1773597993,9286331314,9286733627,402.3,OK,4,4,4
1773597994,9286733685,9287201230,467.5,OK,4,4,4
1773597995,9287201292,9287829908,628.6,OK,4,4,4
1773597996,9287829963,9288231578,401.6,OK,4,4,4
1773597997,9288231637,9288704042,472.4,OK,4,4,4
