SeqNo,Sent(usec),Received(usec),Latency(ms),Result,TargetNode,LeaderHint,Term
1773716574,7600077785,0,0.0,NOT_LEADER,3,0,3
1773716575,7601577934,7602018284,440.4,OK,0,0,3
1773716576,7603078120,7603437118,359.0,OK,0,0,3
1773716577,7604578289,7604939092,360.8,OK,0,0,3
1773716578,7606078453,7606440375,361.9,OK,0,0,3
1773716579,7607578608,7607943807,365.2,OK,0,0,3
1773716580,7609078752,7609443584,364.8,OK,0,0,3
1773716581,7610578919,7610945771,366.9,OK,0,0,3
1773716582,7612079073,0,0.0,NOT_LEADER,0,2,4
1773716583,7613579342,7614475205,895.9,OK,2,2,4
1773716584,7615079562,7615538940,459.4,OK,2,2,4
1773716585,7616579708,7617038597,458.9,OK,2,2,4
1773716586,7618079870,7618539140,459.3,OK,2,2,4
1773716587,7619580060,7620038247,458.2,OK,2,2,4
1773716588,7621080215,7621539625,459.4,OK,2,2,4
1773716589,7622580387,7623039474,459.1,OK,2,2,4
1773716590,7624080571,7624539886,459.3,OK,2,2,4
1773716591,7625580748,7626039782,459.0,OK,2,2,4
1773716592,7627080924,7627540532,459.6,OK,2,2,4
1773716593,7628581115,7629040655,459.5,OK,2,2,4
1773716594,7630081269,0,0.0,NOT_LEADER,2,3,5
1773716595,7631581401,7631958833,377.4,OK,3,3,5
1773716596,7633081602,7633457777,376.2,OK,3,3,5
1773716597,7634581795,7634957356,375.6,OK,3,3,5
1773716598,7636081940,7636458371,376.4,OK,3,3,5
1773716599,7637582101,7637959417,377.3,OK,3,3,5
1773716600,7639082259,7639459318,377.1,OK,3,3,5
1773716601,7640582429,7640960723,378.3,OK,3,3,5
1773716602,7642082622,7642459642,377.0,OK,3,3,5
1773716603,7643582783,7643959092,376.3,OK,3,3,5
1773716604,7645082970,7645460969,378.0,OK,3,3,5
1773716605,7646583147,7646959909,376.8,OK,3,3,5
1773716606,7648083306,0,0.0,NOT_LEADER,3,2,6
1773716607,7649583485,7650038230,454.7,OK,2,2,6
1773716608,7651083657,7651536732,453.1,OK,2,2,6
1773716609,7652583826,7653038008,454.2,OK,2,2,6
1773716610,7654083981,7654541129,457.1,OK,2,2,6
1773716611,7655584148,7656042562,458.4,OK,2,2,6
1773716612,7657084313,7657543582,459.3,OK,2,2,6
1773716613,7658584483,7659044719,460.2,OK,2,2,6
1773716614,7660084642,7660547270,462.6,OK,2,2,6
1773716615,7661584815,7662051336,466.5,OK,2,2,6
1773716616,7663085010,7663549996,465.0,OK,2,2,6
1773716617,7664585161,7665051771,466.6,OK,2,2,6
1773716618,7666085330,0,0.0,NOT_LEADER,2,3,7
1773716619,7667585559,7667963380,377.8,OK,3,3,7
1773716620,7669085713,7669468239,382.5,OK,3,3,7
1773716621,7670585867,7670965936,380.1,OK,3,3,7
1773716622,7672086022,7672475956,389.9,OK,3,3,7
1773716623,7673586174,7673963018,376.8,OK,3,3,7
1773716624,7675086350,7675461646,375.3,OK,3,3,7
1773716625,7676586572,7676962798,376.2,OK,3,3,7
1773716626,7678086730,7678466668,379.9,OK,3,3,7
1773716627,7679586889,7679964418,377.5,OK,3,3,7
1773716628,7681087028,7681463692,376.7,OK,3,3,7
1773716629,7682587192,7682963487,376.3,OK,3,3,7
1773716630,7684087367,0,0.0,NOT_LEADER,3,2,8
1773716631,7685587543,7686211329,623.8,OK,2,2,8
1773716632,7687087705,7687712134,624.4,OK,2,2,8
1773716633,7688587881,7689212314,624.4,OK,2,2,8
1773716634,7690088059,7690717085,629.0,OK,2,2,8
1773716635,7691588183,7692219307,631.1,OK,2,2,8
1773716636,7693088323,7693942930,854.6,OK,2,2,8
1773716637,7694588486,7695220981,632.5,OK,2,2,8
1773716638,7696088714,7696724330,635.6,OK,2,2,8
1773716639,7697588888,7698528153,939.3,OK,2,2,8
1773716640,7699089046,7699728522,639.5,OK,2,2,8
1773716641,7700589182,7701231795,642.6,OK,2,2,8
1773716642,7702089335,0,0.0,NOT_LEADER,2,3,9
1773716643,7703589506,7704043931,454.4,OK,3,3,9
1773716644,7705089768,7705547429,457.7,OK,3,3,9
1773716645,7706589974,7707050201,460.2,OK,3,3,9
1773716646,7708090134,7708552654,462.5,OK,3,3,9
1773716647,7709590302,7710053125,462.8,OK,3,3,9
1773716648,7711090465,7711555461,465.0,OK,3,3,9
1773716649,7712590628,7713056909,466.3,OK,3,3,9
1773716650,7714090800,7714558248,467.4,OK,3,3,9
1773716651,7715590980,7716060189,469.2,OK,3,3,9
1773716652,7717091149,7717562062,470.9,OK,3,3,9
1773716653,7718591331,7719063598,472.3,OK,3,3,9
1773716654,7720091501,0,0.0,NOT_LEADER,3,2,10
1773716655,7721591666,7722054243,462.6,OK,2,2,10
1773716656,7723091891,7723554393,462.5,OK,2,2,10
1773716657,7724592066,7725056120,464.1,OK,2,2,10
1773716658,7726092216,7726553616,461.4,OK,2,2,10
1773716659,7727592396,7728057092,464.7,OK,2,2,10
1773716660,7729092587,7729557983,465.4,OK,2,2,10
1773716661,7730592795,7731055073,462.3,OK,2,2,10
1773716662,7732092965,7732549745,456.8,OK,2,2,10
1773716663,7733593161,7734050508,457.3,OK,2,2,10
1773716664,7735093336,7735551108,457.8,OK,2,2,10
1773716665,7736593509,7737051511,458.0,OK,2,2,10
1773716666,7738093683,0,0.0,NOT_LEADER,2,0,11
1773716667,7739593877,7739974774,380.9,OK,0,0,11
1773716668,7741094045,7741477409,383.4,OK,0,0,11
1773716669,7742594211,7742980121,385.9,OK,0,0,11
1773716670,7744094376,7744483243,388.9,OK,0,0,11
1773716671,7745594535,7745985211,390.7,OK,0,0,11
1773716672,7747094731,7747487833,393.1,OK,0,0,11
1773716673,7748594914,7748877686,282.8,OK,0,0,11
1773716674,7750095110,7750377966,282.9,OK,0,0,11
1773716675,7751595264,7751879771,284.5,OK,0,0,11
1773716676,7753095426,7753378568,283.1,OK,0,0,11
1773716677,7754595607,7754878784,283.2,OK,0,0,11
1773716678,7756095766,0,0.0,NOT_LEADER,0,4,12
1773716679,7757595980,0,0.0,NOT_LEADER,4,1,13
1773716680,7759096139,7759306434,210.3,OK,1,1,13
1773716681,7760596256,7760774282,178.0,OK,1,1,13
1773716682,7762096419,7762276167,179.7,OK,1,1,13
1773716683,7763596630,7763775381,178.8,OK,1,1,13
1773716684,7765096904,7765275179,178.3,OK,1,1,13
1773716685,7766597146,7766776371,179.2,OK,1,1,13
1773716686,7768097325,7768280273,182.9,OK,1,1,13
1773716687,7769597515,7769776381,178.9,OK,1,1,13
1773716688,7771097643,7771276496,178.9,OK,1,1,13
1773716689,7772597823,7772777279,179.5,OK,1,1,13
1773716690,7774097977,7774276678,178.7,OK,1,1,13
1773716691,7775598134,0,0.0,NOT_LEADER,1,4,14
1773716692,7777098436,7777539118,440.7,OK,4,4,14
1773716693,7778598609,7779035835,437.2,OK,4,4,14
1773716694,7780098787,7780538166,439.4,OK,4,4,14
1773716695,7781599029,7782036791,437.8,OK,4,4,14
1773716696,7783099240,7783536836,437.6,OK,4,4,14
1773716697,7784599458,7785037422,438.0,OK,4,4,14
1773716698,7786099631,7786539511,439.9,OK,4,4,14
1773716699,7787599801,7788041074,441.3,OK,4,4,14
1773716700,7789099973,7789545499,445.5,OK,4,4,14
1773716701,7790600198,7791046492,446.3,OK,4,4,14
1773716702,7792100354,0,0.0,NOT_LEADER,4,0,15
1773716703,7793600506,0,0.0,NOT_LEADER,0,2,15
1773716704,7795100680,7795556760,456.1,OK,2,2,15
1773716705,7796600831,7797056856,456.0,OK,2,2,15
1773716706,7798100973,7798556353,455.4,OK,2,2,15
1773716707,7799601136,7800056139,455.0,OK,2,2,15
1773716708,7801101310,7801551110,449.8,OK,2,2,15
1773716709,7802601460,7803052756,451.3,OK,2,2,15
1773716710,7804101609,7804551707,450.1,OK,2,2,15
1773716711,7805601753,7806052730,451.0,OK,2,2,15
1773716712,7807101900,7807553160,451.3,OK,2,2,15
1773716713,7808602021,7809052952,450.9,OK,2,2,15
1773716714,7810102160,0,0.0,NOT_LEADER,2,0,16
1773716715,7811602326,7811994774,392.4,OK,0,0,16
1773716716,7813102494,7813497308,394.8,OK,0,0,16
1773716717,7814602657,7814999739,397.1,OK,0,0,16
1773716718,7816102827,7816501915,399.1,OK,0,0,16
1773716719,7817602986,7818004667,401.7,OK,0,0,16
1773716720,7819103210,7819507259,404.0,OK,0,0,16
1773716721,7820603369,7821009782,406.4,OK,0,0,16
1773716722,7822103531,7822391473,287.9,OK,0,0,16
1773716723,7823603697,7823891215,287.5,OK,0,0,16
1773716724,7825103858,7825390935,287.1,OK,0,0,16
1773716725,7826604052,7826891971,287.9,OK,0,0,16
1773716726,7828104218,0,0.0,NOT_LEADER,0,4,17
1773716727,7829604378,0,0.0,NOT_LEADER,4,0,18
1773716728,7831104532,7831409598,305.1,OK,0,0,18
1773716729,7832604680,7832913061,308.4,OK,0,0,18
1773716730,7834104821,7834416310,311.5,OK,0,0,18
1773716731,7835604976,7835918584,313.6,OK,0,0,18
1773716732,7837105119,7837422905,317.8,OK,0,0,18
1773716733,7838605300,7838924454,319.2,OK,0,0,18
1773716734,7840105462,7840428317,322.9,OK,0,0,18
1773716735,7841605629,7841929560,323.9,OK,0,0,18
1773716736,7843105790,7843432264,326.5,OK,0,0,18
1773716737,7844605969,7844934270,328.3,OK,0,0,18
1773716738,7846106243,0,0.0,NOT_LEADER,0,2,19
1773716739,7847606452,7848059245,452.8,OK,2,2,19
1773716740,7849106605,7849558665,452.1,OK,2,2,19
1773716741,7850606769,7851057407,450.6,OK,2,2,19
1773716742,7852107006,7852559343,452.3,OK,2,2,19
1773716743,7853607168,7854057457,450.3,OK,2,2,19
1773716744,7855107314,7855559008,451.7,OK,2,2,19
1773716745,7856607544,7857058055,450.5,OK,2,2,19
1773716746,7858107700,7858558906,451.2,OK,2,2,19
1773716747,7859607848,7860062440,454.6,OK,2,2,19
1773716748,7861108049,7861559765,451.7,OK,2,2,19
1773716749,7862608264,7863059457,451.2,OK,2,2,19
1773716750,7864108428,0,0.0,NOT_LEADER,2,3,20
1773716751,7865608595,7865999268,390.7,OK,3,3,20
1773716752,7867108756,7867496564,387.8,OK,3,3,20
1773716753,7868608901,7869000568,391.7,OK,3,3,20
1773716754,7870109068,7870498871,389.8,OK,3,3,20
