SeqNo,Sent(usec),Received(usec),Latency(ms),Success
1773460577,61142745327,0,0.0,0
1773460578,61143245976,0,0.0,0
1773460579,61143747046,0,0.0,0
1773460580,61144248025,0,0.0,0
1773460581,61144748661,0,0.0,0
1773460582,61146328915,0,0.0,0
1773460583,61146829045,0,0.0,0
1773460584,61148519661,0,0.0,0
1773460585,61149020615,0,0.0,0
1773460586,61149521378,0,0.0,0
1773460587,61150344297,0,0.0,0
1773460588,61151514668,0,0.0,0
1773460589,61152014987,0,0.0,0
1773460590,61153102983,0,0.0,0
1773460591,61153603384,0,0.0,0
1773460592,61154103442,0,0.0,0
1773460593,61155899436,0,0.0,0
1773460594,61157675267,0,0.0,0
1773460595,61158175286,0,0.0,0
1773460596,61158676349,0,0.0,0
1773460597,61159177404,0,0.0,0
1773460598,61159678142,0,0.0,0
1773460599,61160179171,0,0.0,0
1773460600,61160679632,0,0.0,0
1773460601,61161180394,0,0.0,0
1773460602,61161680657,0,0.0,0
1773460603,61162181398,0,0.0,0
1773460604,61162681803,0,0.0,0
1773460605,61163182038,0,0.0,0
1773460606,61163682328,0,0.0,0
1773460607,61164183234,0,0.0,0
1773460608,61164683446,0,0.0,0
1773460609,61165183521,0,0.0,0
1773460610,61165684043,0,0.0,0
1773460611,61166184481,0,0.0,0
1773460612,61166685437,0,0.0,0
1773460613,61167186338,0,0.0,0
1773460614,61167687261,0,0.0,0
1773460615,61168188118,0,0.0,0
1773460616,61168688477,0,0.0,0
1773460617,61169189279,0,0.0,0
1773460618,61169689480,0,0.0,0
1773460619,61170190553,0,0.0,0
1773460620,61171007457,0,0.0,0
1773460621,61173165431,0,0.0,0
1773460622,61174035298,0,0.0,0
1773460623,61174784897,0,0.0,0
1773460624,61175285103,0,0.0,0
1773460625,61176225715,0,0.0,0
1773460626,61178239437,0,0.0,0
1773460627,61181678483,0,0.0,0
1773460628,61182179577,0,0.0,0
1773460629,61182680524,0,0.0,0
1773460630,61183180532,0,0.0,0
1773460631,61183680753,0,0.0,0
1773460632,61184181576,0,0.0,0
1773460633,61184682513,0,0.0,0
1773460634,61185182586,0,0.0,0
1773460635,61185683034,0,0.0,0
1773460636,61186183638,0,0.0,0
1773460637,61186684148,0,0.0,0
1773460638,61187184173,0,0.0,0
1773460639,61187684388,0,0.0,0
1773460640,61188184587,0,0.0,0
1773460641,61188684732,0,0.0,0
1773460642,61189185492,0,0.0,0
1773460643,61189686179,0,0.0,0
1773460644,61190186768,0,0.0,0
1773460645,61190687514,0,0.0,0
1773460646,61191188569,0,0.0,0
1773460647,61191688791,0,0.0,0
1773460648,61192188800,0,0.0,0
1773460649,61192688925,0,0.0,0
1773460650,61193189466,0,0.0,0
1773460651,61193689685,0,0.0,0
1773460652,61194190234,0,0.0,0
1773460653,61194690342,0,0.0,0
1773460654,61195190955,0,0.0,0
1773460655,61195691383,0,0.0,0
1773460656,61196358370,0,0.0,0
1773460657,61196858525,0,0.0,0
1773460658,61197358839,0,0.0,0
1773460659,61197859115,0,0.0,0
1773460660,61198359353,0,0.0,0
1773460661,61198860390,0,0.0,0
1773460662,61199361464,0,0.0,0
1773460663,61199862406,0,0.0,0
1773460664,61200362759,0,0.0,0
1773460665,61200863852,0,0.0,0
1773460666,61201364222,0,0.0,0
1773460667,61201864921,0,0.0,0
1773460668,61202365684,0,0.0,0
1773460669,61202866286,0,0.0,0
1773460670,61203366470,0,0.0,0
1773460671,61203867026,0,0.0,0
1773460672,61204368025,0,0.0,0
1773460673,61204868566,0,0.0,0
1773460674,61205369707,0,0.0,0
1773460675,61205870287,0,0.0,0
1773460676,61206371145,0,0.0,0
1773460677,61206872049,0,0.0,0
1773460678,61207372875,0,0.0,0
1773460679,61207872971,0,0.0,0
1773460680,61208373286,0,0.0,0
1773460681,61208874345,0,0.0,0
1773460682,61209374860,0,0.0,0
1773460683,61209875726,0,0.0,0
1773460684,61210376812,0,0.0,0
1773460685,61210877770,0,0.0,0
1773460686,61211378087,0,0.0,0
1773460687,61211878128,0,0.0,0
1773460688,61212379238,0,0.0,0
1773460689,61212879653,0,0.0,0
1773460690,61213380048,0,0.0,0
1773460691,61213880710,0,0.0,0
1773460692,61214380941,0,0.0,0
1773460693,61214881401,0,0.0,0
1773460694,61215381855,0,0.0,0
1773460695,61215882720,0,0.0,0
1773460696,61216383293,0,0.0,0
1773460697,61216883769,0,0.0,0
1773460698,61217384398,0,0.0,0
1773460699,61217885426,0,0.0,0
1773460700,61218385853,0,0.0,0
1773460701,61218886926,0,0.0,0
1773460702,61219387090,0,0.0,0
1773460703,61219887173,0,0.0,0
1773460704,61220388295,0,0.0,0
1773460705,61220889291,0,0.0,0
1773460706,61221390453,0,0.0,0
1773460707,61221890931,0,0.0,0
1773460708,61222391216,0,0.0,0
1773460709,61222891313,0,0.0,0
1773460710,61223391704,0,0.0,0
1773460711,61223892279,0,0.0,0
1773460712,61224393264,0,0.0,0
1773460713,61224893849,0,0.0,0
1773460714,61225394945,0,0.0,0
1773460715,61225895535,0,0.0,0
1773460716,61226396082,0,0.0,0
1773460717,61226897025,0,0.0,0
1773460718,61227397983,0,0.0,0
1773460719,61227898217,0,0.0,0
1773460720,61228398345,0,0.0,0
1773460721,61228898744,0,0.0,0
1773460722,61229399217,0,0.0,0
1773460723,61229900303,0,0.0,0
1773460724,61230400872,0,0.0,0
1773460725,61230900963,0,0.0,0
1773460726,61231401157,0,0.0,0
1773460727,61231902255,0,0.0,0
1773460728,61232402452,0,0.0,0
1773460729,61232902848,0,0.0,0
1773460730,61233403847,0,0.0,0
1773460731,61233904287,0,0.0,0
1773460732,61234404551,0,0.0,0
1773460733,61234905710,0,0.0,0
1773460734,61235406655,0,0.0,0
1773460735,61235907017,0,0.0,0
1773460736,61236407929,0,0.0,0
1773460737,61236908740,0,0.0,0
1773460738,61237409540,0,0.0,0
1773460739,61237910361,0,0.0,0
1773460740,61238411438,0,0.0,0
1773460741,61238912016,0,0.0,0
1773460742,61239412593,0,0.0,0
1773460743,61239912860,0,0.0,0
1773460744,61240413968,0,0.0,0
1773460745,61240914541,0,0.0,0
1773460746,61241415281,0,0.0,0
1773460747,61241915810,0,0.0,0
1773460748,61242416445,0,0.0,0
1773460749,61242917117,0,0.0,0
1773460750,61243417823,0,0.0,0
1773460751,61243918810,0,0.0,0
1773460752,61244419929,0,0.0,0
1773460753,61244920433,0,0.0,0
1773460754,61245420507,0,0.0,0
1773460755,61245920922,0,0.0,0
1773460756,61246421746,0,0.0,0
1773460757,61246922827,0,0.0,0
1773460758,61247423800,0,0.0,0
1773460759,61247924670,0,0.0,0
1773460760,61248425252,0,0.0,0
1773460761,61248926242,0,0.0,0
1773460762,61249426626,0,0.0,0
1773460763,61249927435,0,0.0,0
1773460764,61250427972,0,0.0,0
1773460765,61250928599,0,0.0,0
1773460766,61251428848,0,0.0,0
1773460767,61251929616,0,0.0,0
1773460768,61252430032,0,0.0,0
1773460769,61252930372,0,0.0,0
1773460770,61253431414,0,0.0,0
1773460771,61253931433,0,0.0,0
1773460772,61254432064,0,0.0,0
1773460773,61254932209,0,0.0,0
1773460774,61255432830,0,0.0,0
1773460775,61255932882,0,0.0,0
1773460776,61256433406,0,0.0,0
1773460777,61256934429,0,0.0,0
1773460778,61257435231,0,0.0,0
1773460779,61257935534,0,0.0,0
1773460780,61258436578,0,0.0,0
1773460781,61258937620,0,0.0,0
1773460782,61259438618,0,0.0,0
1773460783,61259939215,0,0.0,0
1773460784,61260440038,0,0.0,0
1773460785,61260941016,0,0.0,0
1773460786,61261441137,0,0.0,0
1773460787,61261941415,0,0.0,0
1773460788,61262442240,0,0.0,0
1773460789,61262942329,0,0.0,0
1773460790,61263442707,0,0.0,0
1773460791,61263943090,0,0.0,0
1773460792,61264443710,0,0.0,0
1773460793,61264944094,0,0.0,0
1773460794,61265444960,0,0.0,0
1773460795,61265945931,0,0.0,0
1773460796,61266446448,0,0.0,0
1773460797,61266946753,0,0.0,0
1773460798,61267447759,0,0.0,0
1773460799,61267948009,0,0.0,0
1773460800,61268449123,0,0.0,0
1773460801,61268949295,0,0.0,0
1773460802,61269449618,0,0.0,0
1773460803,61269949948,0,0.0,0
1773460804,61270450865,0,0.0,0
1773460805,61270951132,0,0.0,0
1773460806,61271451784,0,0.0,0
1773460807,61271952605,0,0.0,0
1773460808,61272453388,0,0.0,0
1773460809,61272953995,0,0.0,0
1773460810,61273454274,0,0.0,0
1773460811,61273954993,0,0.0,0
1773460812,61274455408,0,0.0,0
1773460813,61274955932,0,0.0,0
1773460814,61275456482,0,0.0,0
1773460815,61275957537,0,0.0,0
1773460816,61276457827,0,0.0,0
1773460817,61276958159,0,0.0,0
1773460818,61277458957,0,0.0,0
1773460819,61277959135,0,0.0,0
1773460820,61278460113,0,0.0,0
1773460821,61278960478,0,0.0,0
1773460822,61279460691,0,0.0,0
1773460823,61279961376,0,0.0,0
1773460824,61280461832,0,0.0,0
1773460825,61280962582,0,0.0,0
1773460826,61281463420,0,0.0,0
1773460827,61281964238,0,0.0,0
1773460828,61282465235,0,0.0,0
1773460829,61282965416,0,0.0,0
1773460830,61283466048,0,0.0,0
1773460831,61283966863,0,0.0,0
1773460832,61284467486,0,0.0,0
1773460833,61284968201,0,0.0,0
1773460834,61285469113,0,0.0,0
1773460835,61285969854,0,0.0,0
1773460836,61286470567,0,0.0,0
1773460837,61286971479,0,0.0,0
1773460838,61287471512,0,0.0,0
1773460839,61287971819,0,0.0,0
1773460840,61288472019,0,0.0,0
1773460841,61288972791,0,0.0,0
1773460842,61289473719,0,0.0,0
1773460843,61289974721,0,0.0,0
1773460844,61290475118,0,0.0,0
1773460845,61290975903,0,0.0,0
1773460846,61291476625,0,0.0,0
1773460847,61291976894,0,0.0,0
1773460848,61292477260,0,0.0,0
1773460849,61292977818,0,0.0,0
1773460850,61293478498,0,0.0,0
1773460851,61293979339,0,0.0,0
1773460852,61294480175,0,0.0,0
1773460853,61294980365,0,0.0,0
1773460854,61295481086,0,0.0,0
1773460855,61295981898,0,0.0,0
