SeqNo,Sent(usec),Received(usec),Latency(ms),Success
1773460586,56307975796,0,0.0,0
1773460587,56308476221,0,0.0,0
1773460588,56308976525,0,0.0,0
1773460589,56309477335,0,0.0,0
1773460590,56309978098,0,0.0,0
1773460591,56310478351,0,0.0,0
1773460592,56310978580,0,0.0,0
1773460593,56311479364,0,0.0,0
1773460594,56311979964,0,0.0,0
1773460595,56312480723,0,0.0,0
1773460596,56312981088,0,0.0,0
1773460597,56313482056,0,0.0,0
1773460598,56313982850,0,0.0,0
1773460599,56314501505,0,0.0,0
1773460600,56315002490,0,0.0,0
1773460601,56315503054,0,0.0,0
1773460602,56316010953,0,0.0,0
1773460603,56316511583,0,0.0,0
1773460604,56317122529,0,0.0,0
1773460605,56317623214,0,0.0,0
1773460606,56318123816,0,0.0,0
1773460607,56318652167,0,0.0,0
1773460608,56319152465,0,0.0,0
1773460609,56319653446,0,0.0,0
1773460610,56320234213,0,0.0,0
1773460611,56320734494,0,0.0,0
1773460612,56321234955,0,0.0,0
1773460613,56321735529,0,0.0,0
1773460614,56322236163,0,0.0,0
1773460615,56322833302,0,0.0,0
1773460616,56323333401,0,0.0,0
1773460617,56323833566,0,0.0,0
1773460618,56324333773,0,0.0,0
1773460619,56324833861,0,0.0,0
1773460620,56325334627,0,0.0,0
1773460621,56325835239,0,0.0,0
1773460622,56326336081,0,0.0,0
1773460623,56326906607,0,0.0,0
1773460624,56327407134,0,0.0,0
1773460625,56327907335,0,0.0,0
1773460626,56328465262,0,0.0,0
1773460627,56328965846,0,0.0,0
1773460628,56329465937,0,0.0,0
1773460629,56329966776,0,0.0,0
1773460630,56330467525,0,0.0,0
1773460631,56330968343,0,0.0,0
1773460632,56331468409,0,0.0,0
1773460633,56331969103,0,0.0,0
1773460634,56332470028,0,0.0,0
1773460635,56332970712,0,0.0,0
1773460636,56333470753,0,0.0,0
1773460637,56333971405,0,0.0,0
1773460638,56334471821,0,0.0,0
1773460639,56334972359,0,0.0,0
1773460640,56335472851,0,0.0,0
1773460641,56335972971,0,0.0,0
1773460642,56336473847,0,0.0,0
1773460643,56336974746,0,0.0,0
1773460644,56337474938,0,0.0,0
1773460645,56337975598,0,0.0,0
1773460646,56338476579,0,0.0,0
1773460647,56338977000,0,0.0,0
1773460648,56339477301,0,0.0,0
1773460649,56339977992,0,0.0,0
1773460650,56340478413,0,0.0,0
1773460651,56340986805,0,0.0,0
1773460652,56341487764,0,0.0,0
1773460653,56342062538,0,0.0,0
1773460654,56342562917,0,0.0,0
1773460655,56343124138,0,0.0,0
1773460656,56343624155,0,0.0,0
1773460657,56344125221,0,0.0,0
1773460658,56344683180,0,0.0,0
1773460659,56345184145,0,0.0,0
1773460660,56345715076,0,0.0,0
1773460661,56346215167,0,0.0,0
1773460662,56346715810,0,0.0,0
1773460663,56347216597,0,0.0,0
1773460664,56347764161,0,0.0,0
1773460665,56348264450,0,0.0,0
1773460666,56348764524,0,0.0,0
1773460667,56349265219,0,0.0,0
1773460668,56349765962,0,0.0,0
1773460669,56350351123,0,0.0,0
1773460670,56350851517,0,0.0,0
1773460671,56351352266,0,0.0,0
1773460672,56351935451,0,0.0,0
1773460673,56352435709,0,0.0,0
1773460674,56352936801,0,0.0,0
1773460675,56353437173,0,0.0,0
1773460676,56353937609,0,0.0,0
1773460677,56354437709,0,0.0,0
1773460678,56354938740,0,0.0,0
1773460679,56355503876,0,0.0,0
1773460680,56356003940,0,0.0,0
1773460681,56356504951,0,0.0,0
1773460682,56357005880,0,0.0,0
1773460683,56357505990,0,0.0,0
1773460684,56358006461,0,0.0,0
1773460685,56358507318,0,0.0,0
1773460686,56359007811,0,0.0,0
1773460687,56359508063,0,0.0,0
1773460688,56360008646,0,0.0,0
1773460689,56360509020,0,0.0,0
1773460690,56361009045,0,0.0,0
1773460691,56361509551,0,0.0,0
1773460692,56362009722,0,0.0,0
1773460693,56362509882,0,0.0,0
1773460694,56363010855,0,0.0,0
1773460695,56363511273,0,0.0,0
1773460696,56364011750,0,0.0,0
1773460697,56364511892,0,0.0,0
1773460698,56365012101,0,0.0,0
1773460699,56365512601,0,0.0,0
1773460700,56366012669,0,0.0,0
1773460701,56366513230,0,0.0,0
1773460702,56367014119,0,0.0,0
1773460703,56367514601,0,0.0,0
1773460704,56368014618,0,0.0,0
1773460705,56368554968,0,0.0,0
1773460706,56369055666,0,0.0,0
1773460707,56369556115,0,0.0,0
1773460708,56370062277,0,0.0,0
1773460709,56370562722,0,0.0,0
1773460710,56371158539,0,0.0,0
1773460711,56371659103,0,0.0,0
1773460712,56372267674,0,0.0,0
1773460713,56372768053,0,0.0,0
1773460714,56373355105,0,0.0,0
1773460715,56373855493,0,0.0,0
1773460716,56374356019,0,0.0,0
1773460717,56374856986,0,0.0,0
1773460718,56375433280,0,0.0,0
1773460719,56375934219,0,0.0,0
1773460720,56376545165,0,0.0,0
1773460721,56377045258,0,0.0,0
1773460722,56377546325,0,0.0,0
1773460723,56378107715,0,0.0,0
1773460724,56378608054,0,0.0,0
1773460725,56379108957,0,0.0,0
1773460726,56379609076,0,0.0,0
1773460727,56380109899,0,0.0,0
1773460728,56380696417,0,0.0,0
1773460729,56381197457,0,0.0,0
1773460730,56381697708,0,0.0,0
1773460731,56382292141,0,0.0,0
1773460732,56382793157,0,0.0,0
1773460733,56383294027,0,0.0,0
1773460734,56383851180,0,0.0,0
1773460735,56384351731,0,0.0,0
1773460736,56384852340,0,0.0,0
1773460737,56385353404,0,0.0,0
1773460738,56385854081,0,0.0,0
1773460739,56386354682,0,0.0,0
1773460740,56386854890,0,0.0,0
1773460741,56387355195,0,0.0,0
1773460742,56387855722,0,0.0,0
1773460743,56388356197,0,0.0,0
1773460744,56388856225,0,0.0,0
1773460745,56389357160,0,0.0,0
1773460746,56389857838,0,0.0,0
1773460747,56390357934,0,0.0,0
1773460748,56390858922,0,0.0,0
1773460749,56391358972,0,0.0,0
1773460750,56391859409,0,0.0,0
1773460751,56392359983,0,0.0,0
1773460752,56392860530,0,0.0,0
1773460753,56393361403,0,0.0,0
1773460754,56393862443,0,0.0,0
1773460755,56394362794,0,0.0,0
1773460756,56394863640,0,0.0,0
1773460757,56395363658,0,0.0,0
1773460758,56395863798,0,0.0,0
1773460759,56396364390,0,0.0,0
1773460760,56396864786,0,0.0,0
1773460761,56397364879,0,0.0,0
1773460762,56397865571,0,0.0,0
1773460763,56398366375,0,0.0,0
1773460764,56398867142,0,0.0,0
1773460765,56399367690,0,0.0,0
1773460766,56399867951,0,0.0,0
1773460767,56400367972,0,0.0,0
1773460768,56400868831,0,0.0,0
1773460769,56401369570,0,0.0,0
1773460770,56401908485,0,0.0,0
1773460771,56402409247,0,0.0,0
1773460772,56402933783,0,0.0,0
1773460773,56403434029,0,0.0,0
1773460774,56404012880,0,0.0,0
1773460775,56404513818,0,0.0,0
1773460776,56405070220,0,0.0,0
1773460777,56405570297,0,0.0,0
1773460778,56406070377,0,0.0,0
1773460779,56406632775,0,0.0,0
1773460780,56407133682,0,0.0,0
1773460781,56407633710,0,0.0,0
1773460782,56408214476,0,0.0,0
1773460783,56408714914,0,0.0,0
1773460784,56409215149,0,0.0,0
1773460785,56409800712,0,0.0,0
1773460786,56410301156,0,0.0,0
1773460787,56410802078,0,0.0,0
1773460788,56411314791,0,0.0,0
1773460789,56411815010,0,0.0,0
1773460790,56412315464,0,0.0,0
1773460791,56412816036,0,0.0,0
1773460792,56413316399,0,0.0,0
1773460793,56413817055,0,0.0,0
1773460794,56414317100,0,0.0,0
1773460795,56414818026,0,0.0,0
1773460796,56415318268,0,0.0,0
1773460797,56415818292,0,0.0,0
1773460798,56416318693,0,0.0,0
1773460799,56416819122,0,0.0,0
1773460800,56417319991,0,0.0,0
1773460801,56417820181,0,0.0,0
1773460802,56418320688,0,0.0,0
1773460803,56418821285,0,0.0,0
1773460804,56419321657,0,0.0,0
1773460805,56419822084,0,0.0,0
1773460806,56420322720,0,0.0,0
1773460807,56420823511,0,0.0,0
1773460808,56421323535,0,0.0,0
1773460809,56421824332,0,0.0,0
1773460810,56422324596,0,0.0,0
1773460811,56422825400,0,0.0,0
1773460812,56423325414,0,0.0,0
1773460813,56423825466,0,0.0,0
1773460814,56424326014,0,0.0,0
1773460815,56424826305,0,0.0,0
1773460816,56425327157,0,0.0,0
1773460817,56425828055,0,0.0,0
1773460818,56426328479,0,0.0,0
1773460819,56426829297,0,0.0,0
1773460820,56427441078,0,0.0,0
1773460821,56427941614,0,0.0,0
1773460822,56428442403,0,0.0,0
1773460823,56428942669,0,0.0,0
1773460824,56429443564,0,0.0,0
1773460825,56429983106,0,0.0,0
1773460826,56430483564,0,0.0,0
1773460827,56430984030,0,0.0,0
1773460828,56431484039,0,0.0,0
1773460829,56431985109,0,0.0,0
1773460830,56432518465,0,0.0,0
1773460831,56433018639,0,0.0,0
1773460832,56433626117,0,0.0,0
1773460833,56434126332,0,0.0,0
1773460834,56434688591,0,0.0,0
1773460835,56435188694,0,0.0,0
1773460836,56435688860,0,0.0,0
1773460837,56436189182,0,0.0,0
1773460838,56436690069,0,0.0,0
1773460839,56437190464,0,0.0,0
1773460840,56437691542,0,0.0,0
1773460841,56438191972,0,0.0,0
1773460842,56438767691,0,0.0,0
1773460843,56439268216,0,0.0,0
1773460844,56439873688,0,0.0,0
1773460845,56440374750,0,0.0,0
1773460846,56440875748,0,0.0,0
1773460847,56441431832,0,0.0,0
1773460848,56441932037,0,0.0,0
1773460849,56442432931,0,0.0,0
1773460850,56442933849,0,0.0,0
1773460851,56443434218,0,0.0,0
1773460852,56443934345,0,0.0,0
1773460853,56444435357,0,0.0,0
1773460854,56444935378,0,0.0,0
1773460855,56445436414,0,0.0,0
1773460856,56445937287,0,0.0,0
1773460857,56446438306,0,0.0,0
1773460858,56446939356,0,0.0,0
1773460859,56447440033,0,0.0,0
